Point_Name,Latitude,Longitude,Distance_km,Azimuth_deg
P001,30.6558,104.0656,0,47.4895141324722
P002,30.6930976017462,104.112927522955,6.13897167150042,47.4895141324722
P003,30.7303780307554,104.160291627207,12.2779433430008,47.4895141324722
P004,30.7676412482614,104.207692378431,18.4169150145012,47.4895141324722
P005,30.8048872154267,104.255129842342,24.5558866860017,47.4895141324722
P006,30.8421158933423,104.302604084689,30.6948583575021,47.4895141324722
P007,30.8793272430279,104.350115171259,36.8338300290025,47.4895141324722
P008,30.9165212254314,104.397663167875,42.9728017005029,47.4895141324722
P009,30.9536978014291,104.445248140397,49.1117733720033,47.4895141324722
P010,30.9908569318254,104.492870154719,55.2507450435037,47.4895141324722
P011,31.0279985773524,104.540529276773,61.3897167150042,47.4895141324722
P012,31.0651226986706,104.588225572525,67.5286883865046,47.4895141324722
P013,31.1022292563678,104.635959107975,73.667660058005,47.4895141324722
P014,31.1393182109597,104.68372994916,79.8066317295054,47.4895141324722
P015,31.1763895228892,104.731538162151,85.9456034010058,47.4895141324722
P016,31.2134431525268,104.77938381305,92.0845750725062,47.4895141324722
P017,31.2504790601701,104.827266967998,98.2235467440067,47.4895141324722
P018,31.2874972060438,104.875187693166,104.362518415507,47.4895141324722
P019,31.3244975502997,104.923146054758,110.501490087007,47.4895141324722
P020,31.3614800530163,104.971142119014,116.640461758508,47.4895141324722
P021,31.3984446741989,105.019175952205,122.779433430008,47.4895141324722
P022,31.4353913737795,105.067247620632,128.918405101509,47.4895141324722
P023,31.4723201116163,105.115357190633,135.057376773009,47.4895141324722
P024,31.5092308474941,105.163504728573,141.19634844451,47.4895141324722
P025,31.5461235411237,105.211690300851,147.33532011601,47.4895141324722
P026,31.5829981521423,105.259913973897,153.47429178751,47.4895141324722
P027,31.6198546401127,105.308175814171,159.613263459011,47.4895141324722
P028,31.6566929645239,105.356475888164,165.752235130511,47.4895141324722
P029,31.6935130847903,105.404814262397,171.891206802012,47.4895141324722
P030,31.7303149602522,105.45319100342,178.030178473512,47.4895141324722
P031,31.767098550175,105.501606177814,184.169150145012,47.4895141324722
P032,31.8038638137498,105.550059852189,190.308121816513,47.4895141324722
P033,31.8406107100928,105.598552093181,196.447093488013,47.4895141324722
P034,31.8773391982451,105.647082967459,202.586065159514,47.4895141324722
P035,31.9140492371731,105.695652541717,208.725036831014,47.4895141324722
P036,31.9507407857679,105.744260882677,214.864008502515,47.4895141324722
P037,31.9874138028453,105.792908057089,221.002980174015,47.4895141324722
P038,32.0240682471456,105.841594131731,227.141951845515,47.4895141324722
P039,32.0607040773338,105.890319173406,233.280923517016,47.4895141324722
P040,32.0973212519992,105.939083248944,239.419895188516,47.4895141324722
P041,32.1339197296552,105.987886425202,245.558866860017,47.4895141324722
P042,32.1704994687395,106.036728769062,251.697838531517,47.4895141324722
P043,32.2070604276137,106.085610347429,257.836810203017,47.4895141324722
P044,32.2436025645631,106.134531227238,263.975781874518,47.4895141324722
P045,32.2801258377971,106.183491475443,270.114753546018,47.4895141324722
P046,32.3166302054485,106.232491159026,276.253725217519,47.4895141324722
P047,32.3531156255737,106.281530344991,282.392696889019,47.4895141324722
P048,32.3895820561523,106.330609100366,288.53166856052,47.4895141324722
P049,32.4260294550873,106.379727492202,294.67064023202,47.4895141324722
P050,32.462457780205,106.428885587572,300.80961190352,47.4895141324722
P051,32.4988669892544,106.478083453573,306.948583575021,47.4895141324722
P052,32.5352570399077,106.527321157322,313.087555246521,47.4895141324722
P053,32.5716278897596,106.576598765958,319.226526918022,47.4895141324722
P054,32.6079794963278,106.625916346641,325.365498589522,47.4895141324722
P055,32.6443118170523,106.675273966552,331.504470261023,47.4895141324722
P056,32.6806248092955,106.724671692892,337.643441932523,47.4895141324722
P057,32.7169184303424,106.774109592882,343.782413604023,47.4895141324722
P058,32.7531926373999,106.823587733762,349.921385275524,47.4895141324722
P059,32.789447387597,106.873106182792,356.060356947024,47.4895141324722
P060,32.8256826379849,106.922665007249,362.199328618525,47.4895141324722
P061,32.8618983455363,106.97226427443,368.338300290025,47.4895141324722
P062,32.898094467146,107.021904051648,374.477271961525,47.4895141324722
P063,32.93427095963,107.071584406235,380.616243633026,47.4895141324722
P064,32.9704277797262,107.121305405538,386.755215304526,47.4895141324722
P065,33.0065648840935,107.171067116922,392.894186976027,47.4895141324722
P066,33.0426822293124,107.220869607768,399.033158647527,47.4895141324722
P067,33.0787797718843,107.270712945472,405.172130319027,47.4895141324722
P068,33.1148574682318,107.320597197444,411.311101990528,47.4895141324722
P069,33.1509152746982,107.370522431111,417.450073662028,47.4895141324722
P070,33.1869531475479,107.420488713913,423.589045333529,47.4895141324722
P071,33.2229710429656,107.470496113304,429.728017005029,47.4895141324722
P072,33.258968917057,107.520544696751,435.86698867653,47.4895141324722
P073,33.2949467258481,107.570634531733,442.00596034803,47.4895141324722
P074,33.330904425285,107.620765685745,448.14493201953,47.4895141324722
P075,33.3668419712345,107.670938226289,454.283903691031,47.4895141324722
P076,33.4027593194831,107.721152220882,460.422875362531,47.4895141324722
P077,33.4386564257375,107.771407737051,466.561847034032,47.4895141324722
P078,33.4745332456245,107.821704842332,472.700818705532,47.4895141324722
P079,33.5103897346903,107.872043604274,478.839790377033,47.4895141324722
P080,33.546225848401,107.922424090433,484.978762048533,47.4895141324722
P081,33.5820415421424,107.972846368375,491.117733720033,47.4895141324722
P082,33.6178367712195,108.023310505675,497.256705391534,47.4895141324722
P083,33.6536114908567,108.073816569914,503.395677063034,47.4895141324722
P084,33.6893656561979,108.124364628684,509.534648734535,47.4895141324722
P085,33.7250992223058,108.174954749582,515.673620406035,47.4895141324722
P086,33.7608121441624,108.22558700021,521.812592077535,47.4895141324722
P087,33.7965043766684,108.27626144818,527.951563749036,47.4895141324722
P088,33.8321758746435,108.326978161105,534.090535420536,47.4895141324722
P089,33.867826592826,108.377737206607,540.229507092037,47.4895141324722
P090,33.9034564858729,108.42853865231,546.368478763537,47.4895141324722
P091,33.9390655083596,108.479382565843,552.507450435038,47.4895141324722
P092,33.97465361478,108.530269014838,558.646422106538,47.4895141324722
P093,34.010220759546,108.58119806693,564.785393778038,47.4895141324722
P094,34.0457668969882,108.632169789756,570.924365449539,47.4895141324722
P095,34.0812919813547,108.683184250957,577.063337121039,47.4895141324722
P096,34.1167959668121,108.734241518172,583.202308792539,47.4895141324722
P097,34.1522788074444,108.785341659042,589.34128046404,47.4895141324722
P098,34.1877404572538,108.83648474121,595.48025213554,47.4895141324722
P099,34.2231808701599,108.887670832316,601.619223807041,47.4895141324722
P100,34.2586,108.9389,607.758195478541,47.4895141324722
